Date,LogReturn,IntervalDays,StartDate
1998-01-16,-0.009255066000000008,10,1998-01-05
1998-02-02,-0.07896942900000001,10,1998-01-20
1998-02-17,-0.026182669000000002,10,1998-02-03
1998-03-03,-0.033727088999999995,10,1998-02-18
1998-03-17,0.002426939000000003,10,1998-03-04
1998-03-31,-0.042743326,10,1998-03-18
1998-04-15,0.0007166300000000059,10,1998-04-01
1998-04-29,-0.016634398999999994,10,1998-04-16
1998-05-13,-0.014302891000000003,10,1998-04-30
1998-05-28,0.060250017,10,1998-05-14
1998-06-11,0.004270600000000003,10,1998-05-29
1998-06-25,-0.10692291400000001,10,1998-06-12
1998-07-10,-0.072721634,10,1998-06-26
1998-07-24,-0.004067515999999997,10,1998-07-13
1998-08-07,0.045532646,10,1998-07-27
1998-08-21,-0.0058819406,10,1998-08-10
1998-09-04,0.06358001500000002,10,1998-08-24
1998-09-21,-0.037920248,10,1998-09-08
1998-10-05,0.120214536,10,1998-09-22
1998-10-19,-0.079772592,10,1998-10-06
1998-11-02,-0.08832685,10,1998-10-20
1998-11-16,-0.066790786,10,1998-11-03
1998-12-01,-0.07736628899999999,10,1998-11-17
1998-12-15,-0.022709862,10,1998-12-02
1998-12-30,-0.103020614,10,1998-12-16
1999-01-14,-0.076319952,10,1998-12-31
1999-01-29,-0.072643812,10,1999-01-15
1999-02-12,0.08642921399999999,10,1999-02-01
1999-03-01,0.034261707,10,1999-02-16
1999-03-15,-0.09327878199999999,10,1999-03-02
1999-03-29,-0.024950093,10,1999-03-16
1999-04-13,0.010432033,10,1999-03-30
1999-04-27,-0.02200804700000001,10,1999-04-14
1999-05-11,-0.030789133,10,1999-04-28
1999-05-25,0.077139984,10,1999-05-12
1999-06-09,-0.021562788000000006,10,1999-05-26
1999-06-23,-0.04067192,10,1999-06-10
1999-07-08,-0.090999837,10,1999-06-24
1999-07-22,0.03876916800000001,10,1999-07-09
1999-08-05,0.039822107,10,1999-07-23
1999-08-19,-0.045475031,10,1999-08-06
1999-09-02,-0.079523233,10,1999-08-20
1999-09-17,-0.015328579,10,1999-09-03
1999-10-01,0.030916047000000002,10,1999-09-20
1999-10-15,0.043820402,10,1999-10-04
