Date,LogReturn,IntervalDays,StartDate
1998-01-09,0.046523761000000004,5,1998-01-05
1998-01-16,-0.055778826999999996,5,1998-01-12
1998-01-26,-0.008610378000000002,5,1998-01-20
1998-02-02,-0.070359051,5,1998-01-27
1998-02-09,-0.025349528,5,1998-02-03
1998-02-17,-0.0008331410000000008,5,1998-02-10
1998-02-24,-0.05096933,5,1998-02-18
1998-03-03,0.017242241000000002,5,1998-02-25
1998-03-10,0.02228275400000001,5,1998-03-04
1998-03-17,-0.019855815,5,1998-03-11
1998-03-24,-0.031618593,5,1998-03-18
1998-03-31,-0.011124733000000001,5,1998-03-25
1998-04-07,0.030876982999999997,5,1998-04-01
1998-04-15,-0.030160352999999997,5,1998-04-08
1998-04-22,-0.024980081,5,1998-04-16
1998-04-29,0.008345682,5,1998-04-23
1998-05-06,0.020593247999999998,5,1998-04-30
1998-05-13,-0.034896139,5,1998-05-07
1998-05-20,0.034062252,5,1998-05-14
1998-05-28,0.026187765000000002,5,1998-05-21
1998-06-04,-0.012198069999999997,5,1998-05-29
1998-06-11,0.01646867,5,1998-06-05
1998-06-18,-0.043456791,5,1998-06-12
1998-06-25,-0.063466123,5,1998-06-19
1998-07-02,-0.016249531999999997,5,1998-06-26
1998-07-10,-0.056472101999999996,5,1998-07-06
1998-07-17,-0.031397327,5,1998-07-13
1998-07-24,0.027329811,5,1998-07-20
1998-07-31,0.04146135,5,1998-07-27
1998-08-07,0.004071295999999999,5,1998-08-03
1998-08-14,-0.0035961920000000015,5,1998-08-10
1998-08-21,-0.0022857485999999982,5,1998-08-17
1998-08-28,0.184155584,5,1998-08-24
1998-09-04,-0.120575569,5,1998-08-31
1998-09-14,-0.028898918000000003,5,1998-09-08
1998-09-21,-0.009021330000000001,5,1998-09-15
1998-09-28,-0.03579843299999999,5,1998-09-22
1998-10-05,0.156012969,5,1998-09-29
1998-10-12,-0.018447344000000004,5,1998-10-06
1998-10-19,-0.061325248,5,1998-10-13
1998-10-26,-0.053195274,5,1998-10-20
1998-11-02,-0.035131576,5,1998-10-27
1998-11-09,-0.052630746,5,1998-11-03
1998-11-16,-0.01416004,5,1998-11-10
1998-11-23,-0.053452052,5,1998-11-17
1998-12-01,-0.023914237,5,1998-11-24
1998-12-08,-0.040126795,5,1998-12-02
1998-12-15,0.017416933,5,1998-12-09
1998-12-22,-0.09369078500000001,5,1998-12-16
1998-12-30,-0.009329829,5,1998-12-23
1999-01-07,-0.072294948,5,1998-12-31
1999-01-14,-0.004025003999999999,5,1999-01-08
1999-01-22,-0.007811479000000003,5,1999-01-15
1999-01-29,-0.064832333,5,1999-01-25
1999-02-05,0.046377231000000005,5,1999-02-01
1999-02-12,0.040051983,5,1999-02-08
1999-02-22,-0.037034201999999995,5,1999-02-16
1999-03-01,0.071295909,5,1999-02-23
1999-03-08,-0.071463529,5,1999-03-02
1999-03-15,-0.021815252999999996,5,1999-03-09
1999-03-22,0.055533746,5,1999-03-16
1999-03-29,-0.080483839,5,1999-03-23
1999-04-06,-0.030850203,5,1999-03-30
1999-04-13,0.041282236,5,1999-04-07
1999-04-20,-0.0010405150000000057,5,1999-04-14
1999-04-27,-0.020967532000000004,5,1999-04-21
1999-05-04,-0.0024754960000000006,5,1999-04-28
1999-05-11,-0.028313636999999996,5,1999-05-05
1999-05-18,0.014296728000000003,5,1999-05-12
1999-05-25,0.06284325600000001,5,1999-05-19
1999-06-02,0.011088803999999997,5,1999-05-26
1999-06-09,-0.03265159200000001,5,1999-06-03
1999-06-16,-0.043396058,5,1999-06-10
1999-06-23,0.0027241379999999975,5,1999-06-17
1999-06-30,-0.061010356,5,1999-06-24
1999-07-08,-0.029989481,5,1999-07-01
1999-07-15,-0.027393779,5,1999-07-09
1999-07-22,0.066162947,5,1999-07-16
1999-07-29,0.013597559999999998,5,1999-07-23
1999-08-05,0.026224547,5,1999-07-30
1999-08-12,-0.042009093,5,1999-08-06
1999-08-19,-0.0034659379999999983,5,1999-08-13
1999-08-26,-0.037099072999999996,5,1999-08-20
